Team,AdjOE,AdjDE,AdjEM,AdjTempo,HomeCourtAdv
UC Santa Barbara,112.423,109.701,2.72191,69.0571,2.2
UCF,116.099,104.11,11.9893,72.8335,3.5
UCLA,116.322,96.7684,19.5531,66.6654,3.3
UMass Lowell,102.427,117.296,-14.8694,71.9788,2.3
UMBC,103.814,113.044,-9.22969,71.3253,1.8
UNC Asheville,103.773,109.739,-5.96642,70.6866,2.9
UNC Greensboro,101.432,111.233,-9.80071,70.0409,2.3
UNC Wilmington,110.601,108.14,2.46062,68.2316,3.0
UNLV,113.378,106.801,6.57709,73.5182,3.1
USC,119.216,96.6037,22.6124,73.9785,3.3
USC Upstate,99.9891,112.446,-12.4572,71.6058,2.4
UT Arlington,102.789,104.237,-1.44775,71.3979,2.5
UT Rio Grande Valley,106.543,109.025,-2.4825,73.6888,2.5
Utah,111.532,104.534,6.99741,72.1365,4.5
Utah St.,117.068,100.368,16.7005,70.7922,4.1
Utah Tech,101.381,109.324,-7.9431,68.5209,2.9
Utah Valley,107.781,105.036,2.74542,71.7572,3.6
UTEP,100.715,104.731,-4.01633,70.0973,3.6
UTSA,105.958,110.775,-4.81776,71.93,2.9
Valparaiso,101.966,109.327,-7.36103,69.2844,2.8
Vanderbilt,123.374,98.9989,24.3747,72.6241,3.0
VCU,112.288,98.1564,14.132,74.4223,2.9
Vermont,107.535,109.16,-1.6253,67.8958,2.4
Villanova,117.196,100.209,16.9876,68.7935,3.7
Virginia,118.719,101.042,17.6769,68.5721,3.4
Virginia Tech,116.775,102.481,14.2941,71.8407,3.4
VMI,101.47,110.032,-8.56134,72.3335,2.4
Wagner,96.0457,110.543,-14.4969,67.6462,2.0
Wake Forest,113.506,98.4925,15.0136,73.907,4.2
Washington,116.742,100.397,16.3445,69.5639,3.0
Washington St.,108.931,110.666,-1.73511,70.642,3.3
Weber St.,103.322,109.649,-6.3269,71.4357,3.2
West Georgia,101.803,113.711,-11.9075,71.0275,2.6
West Virginia,111.102,97.2461,13.8559,66.2446,4.5
Western Carolina,100.844,106.69,-5.84624,73.4201,2.9
Western Illinois,100.415,115.142,-14.7273,66.3145,2.9
Western Kentucky,107.188,106.815,0.373232,74.3516,3.7
Western Michigan,102.883,110.942,-8.05844,72.4707,2.7
Wichita St.,112.952,105.301,7.65078,70.8197,2.9
William & Mary,106.653,111.168,-4.51475,75.6432,3.0
Winthrop,109.77,107.304,2.46692,74.5273,2.6
Wisconsin,122.327,98.4568,23.8698,70.1024,2.8
Wofford,105.715,111.136,-5.42047,70.0955,2.3
Wright St.,105.475,106.378,-0.903335,69.0033,3.0
Wyoming,106.778,104.189,2.58835,71.4083,3.5
Xavier,108.207,103.113,5.09342,72.214,3.4
Yale,116.819,104.243,12.5757,70.2153,2.3
Youngstown St.,108.971,107.939,1.03137,71.3978,2.9
